agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7537,-1.701,13.6,-1.70302718660156,13.60014622,Rollo,BFA
7540,8.265,12.661,8.26583215562506,12.6584729711719,Roni,NGA
7541,24.715,-28.666,24.7118215664453,-28.6618926215624,Roodepan,ZAF
7544,38.108,7.135,38.1084939913283,7.14050644039063,Ropi,ETH
7545,57.614,-20.413,57.6052426861718,-20.4032998783204,Rose Belle,MUS
7546,31.378,-27.304,31.4090050539454,-27.3156608572265,Rosendal,ZAF
7547,18.672,-33.143,18.6612448786328,-33.1542655489063,Rosenhof,ZAF
7548,-16.14,16.276,-16.1395176671485,16.2789992196483,Ross Bethio,SEN
7549,-15.801,16.515,-15.8055909572266,16.5141444658203,Rosso,MRT
7550,-15.811,16.499,-15.8103217525,16.5028283136328,Rosso-Senegal,SEN
7551,6.032,36.461,6.04032216621093,36.458609210039,Rouached,DZA
7553,-1.63,13.214,-1.63291502371094,13.2126812210938,Rouko,BFA
7556,38.929,-10.074,38.9278066358983,-10.0633725876562,Ruangwa,TZA
7557,30.186,-1.009,30.1874051813672,-1.01718829003906,Rubaare,UGA
7559,29.413,-2.08,29.3491915275,-2.07440457773439,Rubengera,RWA
7560,-4.317,6.073,-4.31012562515624,6.06954118246093,Rubino,CIV
7562,7.033,8.533,7.03330934441406,8.53368399746097,Rubochi,NGA
7563,30.377,-2.027,30.3774889077735,-2.026301463125,Rubona,RWA
7564,30.345,31.041,30.3441651817969,31.0431015001173,Rudat Khayri,EGY
7565,33.359,14.765,33.3617880036328,14.7649604541016,Rufa,SDN
7567,29.12,-2.791,29.1137912958593,-2.77834212179689,Rugeregere,BDI
7568,29.077,-2.82,29.0796808864062,-2.81853204257812,Rugombo,BDI
7572,34.38,-8.703,34.377260818242,-8.70373990972661,Rujewa,TZA
7573,29.923,-1.922,29.9093325227345,-1.93948781207031,Rukoma,RWA
7574,30.285,-2.167,30.3261777896876,-2.17390810859376,Rukumberi,RWA
7575,29.977,-0.802,29.9241146163281,-0.789413599257816,Rukungiri,UGA
7580,29.446,-3.975,29.4415129623828,-3.97403420796876,Rumonge,BDI
7582,27.875,3.173,27.8711000578126,3.17316969757812,Rungu,COD
7583,37.556,-0.483,37.4578275992187,-0.543002754062501,Runyenjes,KEN
