agglosID,Agglomeration_Name,ISO3,x,y,Population_2015,ESA_LC_Open_green,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
640,al-Gharbi bil-Salamiyya,EGY,32.268,26.058,46920,0.15087124,48.4026,46.25639,49.43223,45.84506,49.17645,47.92244,47.7681,44.60722,46.3765,48.44266,45.41934,47.80056,53.28238,46.37638,48.05532,49.15497,47.14632,50.61486,51.08399,50.3551,51.0606,51.39577,47.31023
641,al-Ghardaqa,EGY,33.824,27.175,160047,0.019771145,30.90483,31.62548,33.87386,33.57219,36.80675,35.86087,37.62073,35.30425,35.78717,38.73433,37.21142,38.12652,41.30002,35.36392,38.11456,39.70175,35.89744,38.47165,37.78048,38.13875,38.54966,39.21658,37.67805
642,al-Gharib,EGY,31.269,30.663,10974,0.101800989,34.76563,36.03506,38.97648,39.45188,37.77742,42.86419,40.97507,38.39642,43.17333,41.7182,41.4425,44.99379,48.00732,41.89732,43.69865,45.78034,43.19687,45.16227,43.55588,43.65446,45.02863,45.16803,38.85535
648,al-Giraishah,SDN,35.92,13.714,12750,0.57436261,27.73107,21.46689,26.18177,26.83964,30.77238,29.95788,29.35457,31.50846,27.76796,30.99406,27.42939,31.43056,31.49374,34.24805,30.59697,32.18928,27.17859,32.23818,32.1173,35.11047,33.10484,32.61047,32.25561
650,al-Goled,SDN,30.642,18.493,27750,0.016265511,57.23307,57.66475,58.16301,55.40445,54.60556,52.24525,54.03872,55.73979,54.01804,53.16233,54.28604,54.93802,57.67066,52.74258,54.6599,55.518,48.09251,49.73722,54.19097,51.5363,52.39426,51.37614,45.20932
651,al-Gumhud,EGY,30.78,28.824,11091,0.004386725,47.3,46.39958,52.78013,49.67253,47.22896,50.97061,49.02579,43.81861,47.27145,48.07103,47.318600000000004,51.5186,53.27779,47.4833,49.78121,52.78121,49.87571,52.77529,53.12561,53.23005,52.63004,53.62603,45.38438
654,al-Gusaq,EGY,31.507,30.421,17062,0.019061805,36.60707,38.23994,41.93498,42.76782,40.16782,46.18464,43.62308,41.14568,44.67758,43.65573,42.56713,46.66212,49.42881,42.60064,45.20691,47.16892,45.40788,46.70613,44.52279,46.18172,46.04935,47.3104,39.68295
655,al-Habalsa,EGY,30.767,27.425,14585,0.025421876,49.82856,47.62567,49.87958,46.84055,47.42192,48.68648,46.99254,44.11612,46.12395,47.23157,45.69796,49.15404,53.00697,46.37886,48.12149,50.84379,47.09576,51.55892,52.11935,50.57333,49.83829,51.22917,44.27482
656,al-Habil,EGY,32.662,25.669,21029,0.086124632,44.53327,42.94992,43.41673,40.2603,44.8372,44.02975,44.21769,41.39788,43.02248,46.20154,43.17988,44.41406,50.27899,43.69586,45.47522,47.47974,43.58656,46.27911,45.82246,44.31797,45.97532,46.24534,43.38606
657,al-Haddad,EGY,30.863,30.887,10404,0.051091109,34.28602,34.12199,37.21616,36.98963,35.17821,39.5405,38.21814,35.13615,40.00173,37.74457,37.12729,40.54879,44.16088,37.62411,40.60088,40.99427,39.74574,40.69619,39.67136,40.85701,41.34298,41.55534,34.73159
658,al-Haddin,EGY,30.631,30.735,19529,0.001357699,37.13142,36.77617,39.06724,38.26987,36.62478,41.82008,39.76826,36.05103,40.53608,37.68625,37.32045,41.03776,44.26319,37.49763,40.40073,40.84933,39.52525,40.262,39.09733,40.03714,40.44888,41.13831,34.80346
660,al-Hafir & al-Amal,EGY,31.536,31.443,74272,0.010693315,27.28522,27.45886,29.01642,27.84299,26.51957,29.05461,28.27905,25.87092,29.873,26.65276,28.29926,30.24618,32.51052,27.93317,28.98542,29.97547,29.38395,28.26801,25.71404,27.23654,28.02925,28.41248,24.64505
661,al-Hag Qandil,EGY,30.88,27.63,12949,0.045064949,47.0801,45.53487,50.87545,49.33634,49.48584,51.25692,49.51822,45.89115,47.92094,49.97511,48.69307,53.21023,56.88467,50.07955,52.3994,55.15155,51.44478,55.67499,56.60411,54.72646,53.44934,55.34016,48.42676
662,al-Hagar,EGY,30.648,29.132,16461,0.010292606,49.57942,47.89383,52.57723,49.8027,46.8924,51.60678,49.23306,44.4439,49.12021,48.36817,47.67896,52.23893,54.10181,48.17264,50.64985,53.42247,50.35896,52.44086,51.92941,51.68153,51.44554,52.45097,43.41638
663,al-Hagar al-Mahruq,EGY,30.495,30.888,18815,0.01175132,34.73241,33.85374,37.12166,35.16948,34.44803,39.09522,37.08785,33.5365,38.20924,35.83217,35.84296,39.33319,42.41079,36.52589,39.19894,39.58886,37.94121,39.39587,38.39207,38.86716,39.55681,39.55776,33.71389
665,al-Hagayza,EGY,31.59,30.852,12235,0.005294427,33.34361,34.24664,36.62763,37.24664,36.18259,40.32692,38.33406,36.13932,40.87528,39.67225,38.23398,41.84307,44.8148,40.77654,41.3246,43.36859,41.26859,42.77161,40.68902,41.84104,42.52203,42.53873,36.4119
668,al-Hala,EGY,32.586,25.281,32018,0.257279109,41.71934,39.98825,40.75108,39.05327,44.44741,43.76339,45.38483,42.41484,42.57767,46.14536,43.12124,43.11324,48.27539,40.20545,42.23648,44.23734,40.73604,43.51543,43.98862,41.92289,43.59983,43.39367,41.0742
